name,mz,rt,plasma_01,plasma_02,plasma_03,plasma_04,plasma_05,plasma_06
M733T517,732.5527003,517.095,1679608.497,42151001.84,66156220.7,54675287.66,42197917.27,66110943.84
M733T545,732.5526645,545.421,2177002.805,17532856.84,16459354.12,7366879,14268633.99,18478520.73
M733T627,732.608561,626.916,0,5360585.374,4570095.302,5082860.27,4636868.077,5095027.508
M733T39,732.6664566,39.3875,2392448.576,2162246.405,3253903.989,2845402.651,2056718.176,2599240.715
M733T654,732.9043494,654.362,15484037.12,13822223.75,15920538.04,15393733.07,12979893.68,11507604.44
M734T621,733.5475009,620.66,233999.5723,356366.8414,234818.3145,418760.3567,242622.304,295141.8732
M734T517,733.5559036,516.7665,452268.8776,29489252.02,31315549.17,24222057.03,17730457.46,29647474.77
M734T546,733.5556431,546.1295,1927039.252,3464241.568,3124669.844,3329092.877,2464243.708,2735856.541
M734T563,733.5555737,563.437,1878568.583,1280449.363,1231349.065,1378240.074,1067359.397,1280066.151
M735T518,734.5583221,518.0325,0,4570121.097,7324708.631,6117912.122,7659772.389,4093258.81
M735T595,734.5685227,594.817,50771.71893,16257234.27,18036833.8,15836310.05,15860218.97,16374129.37
M735T40,734.6637807,39.75975,8441360.916,9152854.4,8868351.58,9281732.174,7975165.111,8535218.052
M736T594,735.5718598,594.313,18260.2483,7630278.867,8455087.326,6970913.532,7055173.829,7092147.93
M737T595,736.574923,594.7955,0,1958331.221,1897465.429,1828547.4,1862201.447,1735095.949
M737T40,736.6611614,39.75975,10197375.91,9797257.028,9799538.609,9782477.56,9777725.588,10827987.75
M737T6,736.851659,5.54739,3568186.629,2089766.069,2871115.61,3481899.585,3047346.35,3890844.169
M737T26,736.8516059,25.518,4194447.128,3246756.369,2974533.227,3797363.902,2114596.104,2502103.121
M737T651,736.9481879,650.973,8405879.748,8704481.785,8771297.151,8679160.515,8740794.703,8269904.723
M737T646,736.9715906,646.325,1840709.5,1671947.705,2003041.38,1557705.888,1863462.421,1514495.43
M737T37,736.9723045,37.337,16234763.26,14836706.76,21338491.18,15403455.1,14530043.96,14972539.76
M737T258_1,737.2032747,258.2,3730038.853,3689827.397,5664193.181,6490708.768,10854083.3,10893702.14
M737T391,737.2524549,390.7635,890001.5917,933708.1094,1545720.987,961865.784,1217563.869,918247.1441
M737T258_2,737.3705067,258.3825,3226941.116,4390201.392,4289063.364,9118643.387,8008090.293,7495219.962
M738T391,737.7545307,390.684,322156.4453,548171.5669,427228.1986,604521.2484,597322.794,581229.7513
M738T35,738.0019297,35.2658,1273178.488,1397273.117,783738.967,861872.6837,1299335.831,1881121.036
M739T567,738.5861145,567.42,738732.8301,225391.7984,259412.9701,172700.2932,270378.4965,141924.0612
M739T40,738.6582209,39.75975,5686528.691,6594707.957,6149222.264,6079778.221,6361640.216,7014341.96
M739T35,739.0219579,35.1007,15066744.28,13703303.45,13900770.55,13051544.44,14823211.14,14337055.43
M740T35,740.0242943,35.1007,4158159.757,4245970.726,4362521.938,3785670.477,3820259.618,4922342.383
M741T628,740.521285,627.636,1019027.878,819561.8092,907411.601,742547.6584,622794.4921,958981.793
M741T634,740.5585609,634.205,263905.5266,314415.9163,276916.2302,463253.4293,220053.9031,221513.8505
M741T39,740.6543176,39.3269,1868845.61,2382292.541,2358878.644,1671442.085,2243011.478,1938627.323
M741T36,741.0086999,35.7622,9256817.523,10268701.14,9019646.26,8561600.261,11142143.45,9201922.216
M742T36,741.5103489,35.7622,3406641.132,3937073.127,3095496.534,3226940.114,3550540.586,3044744.257
M742T628,741.5245219,627.88,377011.4007,337870.6252,365566.2026,342554.2855,295775.4556,224865.6331
M742T561,741.5308466,561.447,0,230301.5325,279629.8287,490364.9552,421072.5174,346592.5806
M742T270,742.3808963,269.838,465640.8115,614390.5791,655461.9494,875422.1857,343542.9999,746764.4357
M742T264,742.4201708,263.6045,561003.8664,667573.2585,634646.6725,639556.1897,547486.9955,534848.8826
M743T614,742.5357761,614.143,175243.2698,134948.9767,57366.2642,273751.3783,133539.5683,186096.2682
M743T576,742.5735108,576.155,926235.0239,35444665.16,30408632,37108399.5,24506274.97,23672013.36
M743T282_1,743.0456816,282.007,998142.2343,773179.7437,963750.1004,1023434.073,1431629.901,1362552.58
M743T267,743.3415322,266.5635,573041.2921,432173.8143,682850.2702,1115286.848,1185817.599,1723816.899
M743T282_2,743.3805576,282.324,1090667.785,1404987.076,935038.3132,1797311.431,1660741.793,1350048.598
M744T576,743.5767884,575.9975,487194.4959,16486050.66,15221389.27,16787006.54,10639853.11,11422586.12
M744T267,743.675828,266.6185,1043838.972,1098904.051,1572877.592,1827990.872,1790830.415,1638888.41
M744T282,743.7134779,282.3315,756608.9823,944136.5774,817810.0102,730282.4635,896386.5218,963585.707
M745T635,744.5524825,634.919,7334712.613,8812529.432,6857817.789,8164551.346,8628259.427,8166372.203
M745T576,744.5805707,576.155,865375.0424,3812832.254,4851628.099,4584953.739,3181184.409,3571857.043
M745T590,744.589124,589.9835,215356.9726,19565055.02,15366617.59,16226866.65,17570117.8,15871836.25
M745T36,745.0421746,35.7622,11796492.22,11767045.69,10708385.89,11092795.61,11390038.62,11046967.31
M746T635,745.5562653,634.9145,2764758.071,3993174.679,2618790.13,3145465.973,3715988.405,3270546.878
M746T577,745.5837254,576.821,1491105.109,353715.8002,482893.6909,661613.1431,407714.1933,463010.0982
M746T590,745.5927693,590.331,389772.4392,9133743.396,6966505.003,7305596.972,7800962.223,6796276.873
M746T569,745.6223568,568.721,2221737.499,0,238342.2611,216195.2855,303122.8253,62051.1769
M746T280,745.8992284,279.555,375679.1744,284656.2032,963488.8058,619586.3955,1354181.92,1002394.587
M746T36,746.0460541,35.5276,2202722.001,1720082.879,1626831.915,1489366.119,1593553.382,1693886.822
M747T634,746.558955,633.6145,461936.3661,876371.8045,237397.0667,658109.6935,509595.8316,812413.3566
M747T571,746.5683899,570.522,5258925.218,12018102.74,12218051.28,11947865.45,9911804.994,10860634.21
M747T590,746.5976245,590.331,763931.3421,2161216.978,1637083.61,1860547.162,1746086.858,1645803.529
M747T546,746.6043872,545.6905,16302123.87,34638.64781,5662681.914,4886921.636,7436887.611,4213465.324
M747T563,746.6048033,563.38,15177125.12,3471873.721,3293514.448,5267268.781,2630888.691,3001193.292
M747T39,746.8417999,39.35655,5664131.262,1986763.917,4329997.657,4986872.453,5438376.008,5787333.377
M747T36,747.0010716,35.9359,3790542.658,2730654.379,3236539.846,2622384.76,2030695.508,3833611.878
M748T570,747.57192,570.313,2913181.275,5495619.04,5821247.828,5335431.219,4401694.067,5031889.726
M748T546,747.6078709,545.9995,7869792.687,0,4181773.324,6265045.78,1995729.793,1847306.463
M748T563,747.6082651,563.38,7437919.989,4637525.314,1480412.192,5619520.527,2023540.791,4907360.768
M749T629,748.5247689,628.824,926682.7067,538931.5546,594173.8421,401259.5778,434309.4435,523634.8596
M749T613,748.5466672,612.868,691618.1265,412018.6914,361428.0848,415473.5984,377884.4702,306239.989
M749T570,748.5754017,570.313,630708.5222,1360655.899,1393174.794,1378025.845,995936.7158,1158721.247
M749T617,748.5850989,616.873,0,346514.1139,434016.6534,754038.9811,518706.7565,661884.3573
M749T39,748.8391564,39.09905,7581530.194,7964063.738,4871331.136,6569406.531,7880017.475,7098022.117
M749T36,748.9911538,35.9359,4544572.92,4009110.649,5584218.516,5336313.954,4754224.12,6046734.236
M749T242,749.0702847,242.308,484745.2668,489835.9188,837689.5611,596914.3543,442640.8551,579323.9126
M749T195,749.2173178,195.459,578212.2198,224424.7046,372822.7244,605452.921,646289.2874,317435.3888
M749T35,749.4924154,35.33325,917848.7246,1876365.521,1348609.562,1075892.708,1655847.332,773250.6751
M750T629,749.5292065,628.8,429201.6036,247009.9786,201376.271,203910.9623,127065.753,225785.8519
M750T35,750.0209539,35.2658,990894.4762,9288476.378,1681697.847,2187777.79,1360446.132,1775145.234
M750T364_1,750.168424,363.607,758335.6435,579437.7347,721977.2768,389831.3209,598366.0186,905889.8091
M750T364_2,750.4180549,364.284,544507.5242,1588285.044,1306936.677,1612221.523,1440383.423,1764632.65
M751T641,750.5573309,640.997,1827533.647,1192869.996,1487850.952,1087683.18,2409987.598,1248109.769
M751T516,750.557259,516.477,5908140.039,3464281.307,4770167.472,4929362.348,4826284.251,6803354.464
M751T39_1,750.6371283,38.7325,1575743.925,1627998.719,1425470.499,1530274.025,1089324.037,1298475.96
M751T365,750.6688173,364.89,577800.9043,1381494.962,799586.0883,1237674.42,953216.515,1227099.218
M751T39_2,750.8373414,39.3269,2899039.303,1300225.768,2275619.643,2269676.817,3093110.663,3556719.862
M751T364,750.9204138,364.266,200953.0652,504883.9956,404624.8928,797260.0825,686371.4344,908157.2067
M751T36,751.0814603,35.7622,3256278.64,3625666.017,2861817.051,2792215.955,2939466.028,2706081.724
M752T517,751.5603019,516.7145,3026251.897,1431034.196,1895493.425,2041359.857,1102800.431,1374702.092
M752T564,751.5706724,564.344,846078.7516,969497.2196,1159482.291,869014.1868,1015351.459,995890.5807
M752T233_1,752.0571786,232.982,572600.5443,400533.5549,649387.1601,1012142.259,443110.1965,648467.8149
M752T233_2,752.3921703,233.45,954582.276,772527.6996,634395.9527,1977096.836,878385.7756,1138492.768
M753T592,752.5204082,592.3445,1614119.239,481824.913,357136.3242,309362.0726,347256.4048,314877.5093
M753T598,752.557897,598.478,90537.78683,1551340.57,1749256.044,1791328.734,1457095.655,1795099.219
M753T564,752.5721498,564.104,0,349805.584,311549.784,212627.8589,182482.4255,175959.253
M753T243_1,752.7290317,243.3345,1195612.956,1954069.767,1646614.688,1739679.822,1647855.077,1409140.287
M753T36,753.0296734,35.9391,1829436.457,2375762.935,1744359.628,2260645.657,1758374.903,2189353.056
M753T243_2,753.0627521,243.474,1062474.494,1419993.549,694025.7743,1203040.124,899668.7622,935050.3125
M754T599,753.5615617,598.919,0,832926.6063,896370.3258,861209.5374,551299.6627,735612.9578
M755T610,754.5369534,609.815,16132697.82,8992179.519,10724851.76,10628033.22,8202905.045,9016499.577
M755T517,754.5345683,517.2305,0,4078854.87,3133390.284,3406032.314,3063803.699,1815663.328
M755T584,754.6185402,584.134,15896.07484,222925.6919,93145.72977,28616.14595,215760.7018,121295.2786
