name,mz,rt,plasma_01,plasma_02,plasma_03,plasma_04,plasma_05,plasma_06
M508T493,508.2267087,493.1425,5834027.384,6396286,5736734.301,6707523.602,6121917.571,5887355.878
M508T564,508.2266662,564.487,2405415.177,555589.081,429228.2841,819083.8983,773815.8187,506950.8573
M508T447,508.2618834,447.425,2044574.565,2164218.162,2396514.327,2197588.455,1751114.496,2479014.309
M508T402,508.2624862,401.744,476682.7507,417710.5245,285065.5363,337882.0832,390617.6165,530671.5111
M508T226,508.2886766,225.6665,2028512.627,2247164.586,1985368.881,1929197.368,1878933.834,2122008.904
M508T513,508.330981,513.449,6332069.264,4666485.125,4248168.572,4580830.801,4283894.412,5041239.467
M508T537_1,508.3404692,537.351,56803513.4,38332171.24,32489291,24607820.58,46640220.23,29246836.27
M508T518,508.3716795,518.204,995505.499,2372267.629,1324274.021,832220.2803,719860.4988,1505550.765
M508T537_2,508.3688675,537.102,702157.5461,1231336.026,1003600.663,706840.7463,738349.6456,528099.9451
M508T542,508.4446734,541.772,464647.6668,631299.1323,743312.7746,375665.193,347490.6609,538352.4904
M509T45,508.6233827,44.5938,5875790.539,4490449.241,5830512.217,5714965.965,5484317.46,6103756.748
M509T39,508.7369142,39.45345,3206876.275,3043368.026,3143046.963,3478064.616,2944009.059,3170299.568
M509T652,508.9272586,652.0405,2869901.942,2572741.342,2969414.59,3108737.915,2481176.109,3020029.913
M509T60,508.9812036,60.3357,943942.8718,650004.1815,578775.3437,753550.5668,963197.291,1022649.47
M509T324,509.0024958,323.661,3554101.11,3909063.935,2847902.699,4053145.266,2249644.701,3510734.18
M509T646,509.0659018,646.08,473420.9411,322979.886,282316.8947,534960.2925,384250.9731,405124.0214
M509T331,509.0975228,331.296,670204.7433,973550.45,766540.6458,500168.0798,903404.532,1090832.364
M509T248,509.1125887,248.124,1635970.891,1601085.927,1565780.82,1750817.42,1519720.286,1662433.991
M509T99,509.1214679,99.21415,4246038.089,4133845.762,3903222.45,3681398.72,4270900.656,3820284.546
M509T243,509.1311988,242.821,318483.6966,406679.3995,399517.2619,492009.3272,395115.7691,531619.5474
M509T370,509.1379613,369.954,267672.2857,331281.4925,311953.2439,377138.2601,326708.6231,244379.5704
M509T493,509.2294068,493.1425,1026021.053,1097260.046,1064422.781,1354386.023,954531.5421,861481.6809
M509T422,509.2392391,422.263,4040314.513,2791411.249,2351635.769,2829060.075,2695216.495,4008357.251
M509T360,509.2388363,360.024,2343860.321,2738335.928,2757311.193,2189246.539,2482715.843,2635344.615
M509T447,509.2656202,446.764,493819.8375,487531.4436,578895.8898,436143.2858,250766.1702,408810.4332
M509T355,509.2754908,354.7485,1391480.516,1442623.829,1241855.157,1469835.396,1262849.005,1304896.512
M509T371,509.275428,371.3175,1635481.505,1608763.068,1759045.03,1692157.195,1756446.217,1661897.691
M509T424,509.2752898,423.6055,5545163.048,5612469.423,7354175.997,6548644.66,6516906.642,5997587.301
M509T552,509.2936604,552.399,665414.3215,445043.2687,395354.4221,300978.7887,314504.131,504018.9696
M509T226,509.2917644,225.6665,508965.2512,432468.7829,492801.5711,454903.5057,456376.2649,484098.1682
M509T634,509.2882328,633.813,5996014.638,5087149.667,5931059.244,5361358.085,4713034.298,4292089.424
M509T611,509.3302626,611.289,41651.05267,3554627.927,2781062.864,3118690.449,2744302.908,2641332.994
M509T514,509.3336973,513.743,754354.3901,356320.1458,323160.2745,462241.0196,434142.8731,434439.3096
M509T537,509.3440257,537.0635,15716965.87,10410038.61,9018584.006,10686720.86,9066400.519,7820383.567
M509T631,509.378658,630.8985,256830.3643,330892.5917,317135.2909,329992.6696,376518.2605,436245.1633
M509T535,509.3833709,535.366,4038063.938,4465768.449,6827981.791,16410617.83,13940909.26,6055676.989
M509T554,509.3841753,553.669,7297176.879,3569783.378,4512279.279,3609988,4366584.676,4586125.931
M510T344_1,510.0666469,344.1775,502053.3789,449707.1275,508461.5599,492876.8326,626912.4269,422120.9463
M510T344_2,510.1012934,344.1775,611534.0641,544231.2984,513763.3172,695345.6559,772913.751,497050.4316
M510T99,510.1245951,99.21415,859143.8113,1041115.134,1116604.827,777405.9808,1038893.641,803100.5139
M510T412,510.2301098,411.672,465756.1601,454874.2497,748249.3457,289243.9706,537986.8843,227649.2571
M510T360,510.242021,360.024,372098.2525,634639.6657,584006.6699,530145.8344,574160.5323,710823.6781
