name,mz,rt,W03.01,W03.02,W03.03,W03.04,W03.05,W03.06,W03.07,W03.08,W03.09,W03.10,W30.01,W30.02,W30.03,W30.04,W30.05,W30.06,W30.07,W30.08,W30.09,W30.10
M632T358,632.2468244,357.597,2970.90619,2813.241781,1563.504889,1250.666353,2091.238944,2831.570368,2692.986354,2030.154231,2459.876842,2363.029167,3415.5583,2321.93684,2620.81833,2294.592053,3556.2394,4288.455556,2763.784829,2766.255227,2821.642157,1916.74604
M632T495,632.2771823,494.58,830.8487273,1937.194105,32590.92185,11557.34132,35946.00281,29179.66136,53568.2835,50700.15457,9023.498882,78558.7248,442.137609,342.2994116,128.5600692,227.6666895,156.2215553,118.7203921,195.5980976,829.4738934,157.9762679,1102.112643
M632T353,632.2936957,353.3135,631.9033333,834.4025128,2854.313533,698.1072411,1348.543403,3198.975522,1872.012817,1596.949672,389.1554667,1080.72,670.3821082,1930.844727,1798.483236,1422.673808,699.1457143,3175.680522,875.2424615,443.9114286,871.395,854.2602353
M632T45,632.3078444,45.136,6682.326,1874.698,3184.946667,2824.825714,8590.32,2991.107949,4122.556364,3948.579338,4055.751143,4628.666667,7662.688714,5092.395762,5636.472127,4949.646,4985.007588,4641.450285,4644.205714,2586.85425,2384.099439,5841.849231
M632T479,632.3115518,479.081,1352.342278,2236.892842,2805.9325,777.2891053,10702.06765,4347.931333,5075.170071,5267.641235,1142.96496,8395.215706,134.8830746,177.4314382,206.8061395,505.6787397,105.4990607,153.9008077,326.6009001,294.3140767,95.16103278,721.6599731
M632T426,632.3366182,426.107,1039.542,1153.736308,961.527,825.3912857,618.9262015,935.7393329,662.3992,612.1026077,954.2666667,526.34125,658.3741201,503.3562364,1328.938568,724.7281765,523.5939128,440.2587484,1190.525917,982.0472727,860.6486667,692.7906667
M632T271,632.4238155,270.604,8037.414947,13709.58363,7973.913,3301.238838,5798.5038,6685.300105,5338.3935,5435.82,4592.696368,7394.352412,41908.75333,42577.68778,33969.94889,55025.02917,33766.67111,34849.78174,35359.16511,32378.68,45977.64347,51711.97511
M632T238,632.4229971,237.749,10595.76009,16707.61493,9971.986016,1138.047927,3935.455129,9127.073567,6529.209332,7825.347909,6040.977723,9597.3475,34422.64847,45301.31533,40948.0563,39300.36,41042.97643,22119.69807,46897.20706,45990.55975,52394.10679,64715.60457
M632T38,632.4566331,37.7065,1096.556519,858.012,1153.167437,1177.944857,1173.35,1324.35,1305.951429,1009.870789,1206.571429,1235.566833,1108.771286,341.8834877,528.343248,548.0630493,547.7480799,769.8789223,509.778,665.21,376.652,409.7277855
M632T321,632.4793437,321.0385,67315.52922,111459.083,16390.56243,23696.22872,135931.6025,24775.78008,31975.62108,80506.78253,21839.03719,77095.83764,38105.6865,129132.1514,147262.597,285838.558,139560.3661,169514.3572,155745.5711,100828.233,201409.1721,151379.4678
M632T334,632.4789862,334.405,45680.74741,76359.66,14316.01937,9819.1627,53673.3985,18450.25526,22643.86937,57017.10594,11432.71833,53372.80222,33496.90195,88470.55187,91814.47688,111847.3621,84292.84125,71889.02022,112055.1436,75375.18883,149613.1973,91823.57529
M632T320,632.4907479,320.0715,65323.90471,110497.7242,16623.57056,14162.95439,125195.8956,24868.55178,32141.58171,80877.80212,18840.38316,77315.49922,34800.28541,131712.9331,152736.5793,165686.4206,144507.7481,258969.1955,149423.9904,101400.582,204808.3126,147399.354
M633T60,632.5269411,60.355,867.3409233,1450.590106,136.102478,137.4398778,1693.439484,463.356926,395.2075806,1106.3,62.25787481,944.64,736.3880075,1789.770855,1504.094286,1614.507404,1846.169,1531.5,1752.054545,1645.704191,2661.709563,1338.051429
M633T580,632.7253514,580.0605,5102.514038,5802.133112,5072.416722,5632.068087,3611.503636,4571.8608,3861.315444,4203.510864,5491.747414,3108.693724,3544.745,5375.039423,5723.848447,6157.901727,4099.665059,3482.674805,3477.017812,4284.8353,1371.168,4289.032
M633T647,632.7870334,646.6195,1951.486667,1328.822,675.6413189,819.8569412,908.5263158,1168.385481,1288.627178,1019.98309,1271.981873,1321.854,1411.901611,955.6687134,1559.647391,1346.053641,985.1717078,1313.744338,1413.307625,1272.371419,1068.281317,1407.165759
M633T389_1,633.1162062,389.173,2595.06715,3558.22005,3583.222435,1955.249333,4666.776647,3623.744944,3834.376412,3026.069167,3229.165588,3909.061421,1663.340867,1573.960715,1825.961395,1932.23525,1893.527466,2052.98784,1978.102222,2266.571176,1325.923443,1699.607765
M633T389_2,633.1279502,388.988,3110.221623,3599.318947,3551.6947,1957.185656,4574.612142,3608.599253,3778.458354,3013.859334,3267.990122,3821.133933,1707.148905,918.1774,1879.749529,1884.022829,1803.0825,2175.979938,2024.946236,2259.706306,1324.015714,1767.791443
M633T785,633.1820267,784.528,22003.52,20198.34187,21416.32429,21471.41741,29692.1548,22198.13878,29124.637,26794.83281,25328.184,32740.87031,7357.28625,27450.89121,8267.638615,11558.46748,9222.07929,11106.786,10880.69097,14312.85714,14222.65425,15003.99217
M633T722,633.1827446,722.467,13133.2056,7939.040241,12783.90768,12290.47154,8090.907727,17157.83891,20379.28317,13680.77889,8099.497,17972.4144,7159.391268,9797.607422,5909.233783,7560.08629,4823.518642,6385.093386,7543.07516,8851.619781,8470.371961,9703.594067
M633T361,633.2104574,360.824,802.0761813,985.0733173,666.5934307,449.82,774.7369666,827.5564684,563.4559152,305.2851563,579.574,640.3030769,817.4606098,705.8185871,926.2692544,537.1957143,605.9612778,677.8229699,595.7724667,737.4121667,496.1391977,981.2001038
M633T495,633.2801082,494.8465,337.2550256,918.4219869,11181.34377,4064.421,18851.48267,5930.983,17577.9184,16656.50946,3147.78384,26296.07765,203.3252903,207.485614,122.6561169,153.6306725,110.3735693,127.4928401,105.8826103,284.7169775,152.418045,457.5022095
M633T638,633.2889749,638.387,191.0872858,317.6239827,170.1380412,268.9039612,1174.922,442.9333402,894.592,655.2847845,331.0391001,877.2205556,717.42825,908.4569375,908.4375,856.6603571,642.4386815,617.3788278,692.25,1473.923684,565.3672137,700.8408
M633T479,633.3159381,479.089,468.7465007,758.916875,976.3595789,377.1537459,3719.505263,1432.692236,1788.565469,1843.1045,413.2971352,3125.587667,50.39587402,50.91648017,63.96518555,210.0124081,47.90741864,67.45663632,186.5523071,117.7495045,73.58674891,210.8153025
