sample.name,group
Sample7-W03-08,W03
Sample26-W03-04,W03
Sample27-W03-05,W03
Sample31-W03-01,W03
Sample36-W03-02,W03
Sample38-W03-10,W03
Sample49-W03-07,W03
Sample51-W03-09,W03
Sample64-W03-03,W03
Sample69-W03-06,W03
Sample2-W30-06,W30
Sample3-W30-05,W30
Sample5-W30-09,W30
Sample21-W30-02,W30
Sample32-W30-07,W30
Sample39-W30-10,W30
Sample46-W30-04,W30
Sample53-W30-08,W30
Sample55-W30-01,W30
Sample73-W30-03,W30
