name,mz,rt,W03.01,W03.02,W03.03,W03.04,W03.05,W03.06,W03.07,W03.08,W03.09,W03.10,W30.01,W30.02,W30.03,W30.04,W30.05,W30.06,W30.07,W30.08,W30.09,W30.10
648,163.01729,2.493,3899473,3197535,13305,12789,1771249,792866,240184,530516,164839,2481232,2858110,2718734,4290040,4174314,3146990,3559698,4054244,1637162,3381898,5105603
649,163.03139,1.217,840256,1179731,2387624,2233716,996273,1470706,2201852,1080978,1464248,1200882,1343271,1275075,566169,1148056,604439,1358991,1664921,2515027,463825,2199093
650,163.94684,0.605,16604,15231,12,33,5816,8471,1875,2099,875,10238,6412,8354,8124,11968,8707,6029,8048,5734,5777,12749
651,164.01967,0.976,145306,157388,277130,184308,142621,183699,213794,151446,170975,168465,321594,169578,92181,128695,69413,155480,222989,224823,126266,169778
652,164.03987,11.241,408386,440346,491408,465825,341439,513208,427863,250909,443571,323221,233904,225521,325979,399815,197621,237214,335637,352146,306065,346867
653,164.07394,7.704,288639,295924,345778,306483,256799,303983,295687,200901,311256,282568,215944,271005,273085,282267,247007,242437,284059,270626,238130,281603
654,164.97543,10.781,170902,197087,200800,177242,189779,220225,221200,161203,198895,196734,180241,194009,222710,202309,164577,163682,194279,207664,160938,200380
655,165.00748,10.938,48336,31040,55121,48885,27782,51356,23089,16492,45285,27774,25822,44546,60004,34343,39319,24144,50346,43295,32162,33417
656,165.01335,2.494,249037,194848,12571,8793,119976,50525,29058,21544,11661,146954,169040,174774,244134,243101,188623,205929,239092,101347,197267,286838
657,165.01999,0.582,78519,60349,11143,6790,55477,36554,22452,28851,14459,54512,102525,65648,102631,74451,61709,67264,77387,28366,63800,84386
658,165.02797,1.215,49423,45780,104572,114859,37825,63209,96204,42455,61671,59221,74436,71249,31537,58146,30540,59524,88536,99030,29148,112381
659,165.03185,8.18,32759,36883,9769,21208,27362,16907,28351,13893,30133,21333,35735,40632,39245,32886,37013,35635,36951,37049,29620,39282
660,165.0383,0.995,145449,150680,179689,155895,150715,189357,264707,207399,343001,150730,301374,139083,195214,160976,122151,141866,156996,189835,127895,142931
661,165.03842,0.86,243631,464777,335842,111756,444640,470727,635880,375950,442934,360992,614058,317352,431751,654912,205698,207376,403048,490623,271743,513056
662,165.06404,4.514,137651,132014,5731,5232,43521,73563,23950,33723,13030,81135,66572,127925,106634,190519,90488,92833,162110,69367,133023,244417
663,165.97997,0.898,12703,10431,13245,7159,1930,12434,19304,11800,23407,10231,8956,10318,39211,4058,3996,3716,4741,21364,2882,6273
664,166.01541,4.938,597794,538933,270768,239390,432755,341612,321107,243057,274675,402001,417640,540059,595446,627753,477694,721931,607795,325250,632291,813469
665,166.0175,0.581,90551,77951,6719,26829,129529,25759,25134,31239,1949,113203,147827,60021,49551,124438,79197,103524,102705,24604,158302,148347
666,166.01927,10.991,57943,35429,29778,85450,13322,14755,19076,21475,53882,9154,33834,87219,48607,43419,68641,98380,49929,82934,86024,57593
667,166.04939,2.915,425908,330645,383853,249086,755029,429113,587591,415219,548948,458965,320584,279945,398141,396185,300502,319985,434732,355455,387376,346663
668,166.9575,10.784,64547,78139,86137,67165,67844,84932,86176,65510,82732,76619,76848,71381,91831,77526,60671,60114,72339,80326,62834,77922
669,167.01419,7.207,21317,19252,3038,2652,17231,12086,10266,7282,5171,18724,18659,16197,35047,30721,16833,19789,28354,13676,19543,30947
670,167.01976,9.921,132638,75771,235842,331124,49041,182589,140779,55272,365486,36493,24596,121682,143119,69118,90052,82208,104829,142785,66414,66984
671,167.03432,0.592,152698,111355,6793,8910,87477,39086,23185,26477,12607,87738,149483,76262,110433,127625,100777,129705,122612,30912,132594,165411
672,167.03725,4.588,44076,57074,98608,28508,26806,62154,30442,24076,8779,54735,22527,30135,32224,37455,38431,15196,39908,16101,34824,35919
673,167.0417,11.425,64146,91134,50101,101367,57848,63955,90399,49715,63443,69331,77606,55576,99742,172028,76227,128654,82595,114847,63708,81413
674,168.00397,13.169,19270,31556,18626,14679,16948,21501,20778,21464,19086,29016,21082,21319,31868,20394,18984,17476,26294,24349,19454,27838
675,168.01151,4.936,30243,27229,14008,13716,21535,17417,17214,13534,15477,20072,21231,26427,29945,27350,20219,33871,28485,17401,30118,36508
676,168.01778,0.595,87708,59306,208,3005,58337,24862,7937,15615,3446,56849,83569,44558,53810,72346,58914,64608,74714,14226,83371,88343
677,168.02594,12.22,97348,122731,93893,113714,106665,82066,116430,105106,101372,130614,86015,106687,103710,122341,97442,102027,134380,121226,99886,133171
678,168.04018,15.339,1727813,2226722,2284847,1976160,2140482,2268169,2439630,1895007,2331984,1485160,550521,2492584,2306901,2396833,311263,1072452,2135115,2202268,224398,2631611
679,168.07602,11.645,23739,28753,25859,37285,38380,28765,47910,28364,36159,35384,10645,19017,22792,23696,17085,19477,21696,25106,16755,26339
680,169.00679,3.966,61109,21566,13280,10122,90176,132918,127103,24568,13082,35598,82131,48180,9641,41237,75120,56909,58878,148665,53445,30561
681,169.01706,0.589,109978,83875,2640,1573,86601,21471,8623,18135,3789,70711,170887,55402,58863,171983,84029,166262,127743,14906,219133,192896
682,169.05894,5.899,224486,365975,169061,380104,244680,168353,165643,222258,275054,245441,112096,213705,165465,246974,190600,201751,175669,216484,249041,210811
683,169.06007,12.591,27965,30505,28254,34048,30705,30919,31321,24425,32071,27665,15084,24612,17750,26132,17985,19533,20144,21747,23942,28479
684,169.06017,6.471,393714,417278,399349,352779,148027,420750,309497,304344,383996,256037,272903,361173,311816,400420,242286,152606,316224,326356,306439,351685
685,169.06329,0.913,52821,90111,67370,47083,75240,77921,82501,71616,80182,87030,173283,91597,88643,96688,69783,98058,83543,70108,76466,92570
686,169.12173,1.322,139727,186905,157158,144662,122774,184339,147231,145763,153371,165835,417690,298029,291085,280394,239732,191369,268062,312963,215742,277982
687,169.83067,4.657,12919,12148,17257,14662,16940,14047,19075,14760,13172,16300,8180,11332,13485,9901,12528,19085,12923,11331,10885,12198
688,169.8327,4.828,13213,12878,17035,13826,18468,14110,19698,14871,12006,18635,7912,10287,12489,10658,10372,10579,11940,10387,10340,10073
689,170.01956,9.6,24126,25725,26836,30237,26438,23689,28480,23858,23509,25171,14417,26802,14875,25763,26162,28533,23174,21888,24534,25287
690,170.02635,4.663,17556,21437,18220,18485,13613,20184,19274,16440,21339,15441,16749,16085,15352,16388,13069,12484,17563,16871,11122,13370
691,170.03384,0.606,79051,64071,746,1307,56793,23144,9635,12418,3558,61646,71854,40246,77074,72248,48647,73813,70651,16715,67451,86901
692,170.04285,11.921,64690,72224,70971,67389,63398,73042,70799,58323,78003,69897,43027,67830,67201,75334,55841,57189,63873,64552,57915,74181
693,170.04474,10.511,89281,89472,106970,78351,90834,98801,92186,63221,97570,95955,92409,70190,99920,94308,63863,78011,83894,93057,61172,86521
694,170.0453,10.766,64318,74470,65844,83151,74871,62266,87068,73604,66000,63584,44663,82037,55799,65780,78868,77521,78649,62722,71760,73510
695,170.04797,1.88,58865,55196,1562,1264,33617,49464,25876,10500,14667,29693,77009,51099,135109,91601,54574,55951,66743,44788,41092,89956
696,170.04843,11.82,44070,45942,44184,38396,35636,48701,39497,32938,39076,35906,39547,43152,36174,47544,31226,28288,36642,39053,37339,39658
697,170.05843,6.313,16813,13874,3640,2230,11879,9607,9575,6107,1847,10186,12543,20973,23572,25574,16517,22359,20666,8577,30888,25253
698,170.60089,1.316,5092,4570,8841,4119,5608,8813,5938,3238,6415,8673,15451,10186,9947,9021,5844,3884,7825,10363,5558,7598
699,170.946,0.786,9653,14338,12948,14049,9535,16172,13438,9671,18373,14804,11849,11007,14299,15623,9109,8021,14256,14210,10582,12410
700,170.99857,2.219,18495,19710,21141,19356,17844,19105,24487,14045,21897,21134,11617,13696,53738,17668,18245,18455,15841,14260,14956,28557
701,170.99864,3.153,74634,86382,82349,77433,76430,72853,92827,57820,93034,87782,46236,62824,240933,68959,64113,88726,73603,59750,63758,130764
702,171.00484,13.423,1441270,920838,1422463,1570036,1179881,1058242,1837637,654671,2828359,1776445,477821,1342763,1155099,1184030,848413,1142194,1136980,1166697,1207480,1740672
703,171.00487,11.968,189203,313494,258676,207469,228257,267273,230777,185417,209018,322531,172835,103249,241347,142923,127690,81834,222348,255629,95420,163847
704,171.0099,1.056,193134,1352830,134212,139897,90240,113455,167018,127056,209707,223789,140335,68199,100979,134428,109989,101406,127528,107238,208671,238665
705,171.01018,1.175,378228,461217,503106,360736,369987,344719,473649,345135,532808,543721,299456,365675,400846,459205,348495,416950,359168,386332,355336,420086
706,171.02974,0.607,187659,163939,1970,3457,137369,96121,37218,52493,11713,122708,235846,134844,145077,187700,153683,135661,181388,59505,146438,186511
707,171.10008,2.851,1055073,1095740,65325,24761,1001577,555949,237997,434390,347906,2047492,771675,545662,520327,923510,676358,576229,941222,285381,898216,980497
708,171.10197,2.525,1925598,1910596,411487,78217,142224,945794,405668,1453944,1011706,3968618,1342854,950234,986521,1548120,1299445,1093673,1692401,709043,1384379,1529523
709,171.13615,4.361,138832,77955,143070,59312,116588,104626,69407,96908,250127,107989,115890,202267,244623,253036,74157,90759,274814,85481,99284,102392
710,171.13635,1.314,1428164,1646106,2369740,1378502,1244771,1863710,1644799,1542108,1803012,2161078,3129958,1827863,2100094,1898727,1692918,1615463,1837897,2142211,1530459,2023048
711,171.13812,1.593,445794,496842,610249,144412,222005,462989,454112,408883,511730,538076,809510,421438,470985,458811,393804,401896,467901,578212,471901,464346
712,171.13847,0.889,82135,119269,134603,65337,83860,134301,135918,128906,156452,121442,142388,112494,123223,126148,121981,112184,125077,134237,117410,125620
713,171.14198,1.097,506268,665908,1431487,411640,537477,726985,777684,631342,578562,1162776,773337,500159,549124,520641,402813,425704,496646,571792,420837,512640
714,172.02304,10.259,17788,24734,10692,8616,62457,32190,32314,41225,10394,89328,10267,13537,9657,17952,10097,10941,11301,11233,9934,18171
715,172.05952,8.166,165465,178035,141599,161370,140913,161591,136164,159567,149019,135743,131546,182077,103277,183372,125753,91191,142360,141812,130253,134457
716,172.06303,12.591,20882,19931,22500,22478,17508,24953,20125,13881,23672,16083,14608,20873,17386,30112,11975,11007,18047,21458,14974,23074
717,172.95586,11.772,122862,295470,305651,119832,110970,134157,177615,72725,138316,149074,203716,114231,142052,164382,94693,91483,107925,312311,73945,115585
718,172.95602,13.063,132355,87208,91601,108496,73388,113021,133785,85744,190019,95222,200489,95456,173400,142249,91627,57417,171359,145622,76519,271765
719,172.95653,10.542,138183,96640,122112,92847,41614,212491,114846,63361,123696,157731,107001,108091,52827,112904,90160,44300,42356,120139,18930,113592
