name,mz,rt,W03.01,W03.02,W03.03,W03.04,W03.05,W03.06,W03.07,W03.08,W03.09,W03.10,W30.01,W30.02,W30.03,W30.04,W30.05,W30.06,W30.07,W30.08,W30.09,W30.10
1875,289.18793,63.42,17134,12199,28354,14488,18903,24344,31562,16430,28611,16110,22995,17794,14612,12472,8573,8186,20880,9663,15470,16835
1876,289.23901,190.8,20907,15915,27890,37695,13851,14145,9969,1221,26989,1602,86285,23578,19634,18105,16576,10960,23571,24655,12389,16276
1877,289.27386,54.36,75649,42273,71716,33769,53199,52781,63569,29891,414012,257330,121084,42710,69107,84584,40873,56053,73817,75460,25375,89605
1878,289.52762,51.72,5944,4371,45030,2799,5259,30146,53087,2072,25234,12360,131575,5690,20517,23672,926,658,10393,17558,373,11492
1879,289.69235,51.78,8008,5304,49607,3707,6693,33917,69066,2191,27338,15091,123962,5296,33132,19871,433,1047,7270,15434,559,11429
1880,289.8595,51.78,2027,1500,19567,1047,894,18997,26672,563,6537,6515,47908,1545,13448,5655,230,477,3960,5325,124,6250
1881,289.95743,571.8,35611,33665,19865,85389,74847,14899,26338,190350,22807,30452,416,84609,6906,24702,203235,243375,32752,15672,205930,26403
1882,290.05661,462.24,15480,12341,3966,2978,4964,6283,2987,3762,2732,4948,68,11209,20536,22219,17053,21075,20036,2449,16703,21638
1883,290.07407,556.74,69498,61412,86349,81797,222416,83061,84347,151365,106271,60691,4586,68738,70572,50943,174269,165524,68870,38147,84310,55488
1884,290.07605,541.08,50836,39533,65968,51820,103265,76678,58175,78633,29655,56497,2903,27347,19278,21043,51027,48445,29261,19289,43085,21711
1885,290.08029,669.6,30297,21330,5937,4624,20099,7847,6186,15987,9479,22254,4361,16956,22933,76463,19446,24655,31779,6831,37089,32272
1886,290.08307,302.16,26965,25316,43349,38081,8158,35122,35495,16068,52183,24913,23626,27204,24804,23508,16766,14001,25364,33204,15975,15216
1887,290.11908,629.46,7376,9302,12258,7422,25899,11026,9906,10460,8420,9071,2410,7972,8207,8055,9181,9506,7588,9036,9529,7649
1888,290.14575,848.76,9153,15621,12905,8815,15259,15553,16414,27356,13730,28272,2405,14672,9724,12134,15960,15111,9243,13860,15070,15809
1889,290.16238,388.26,18294,19005,19655,17416,20946,19331,22481,7070,20371,20010,7966,14405,15131,14101,13910,13724,15060,17083,14554,14661
1890,290.18619,79.2,500153,539280,643323,446894,98956,465747,189004,163426,609131,246589,9078,354336,512370,297479,351399,275637,442490,376184,329857,415120
1891,290.18924,172.56,174632,190801,175101,7657,5906,140906,53695,43094,193556,74656,310614,144875,152974,102269,112594,102954,170758,126836,104399,166408
1892,290.23138,147.3,28853,22950,27756,26179,7791,32148,20826,28078,25118,48262,7246,20495,6701,14911,28249,20232,34926,17970,46460,27409
1893,290.26944,78.42,35769,48996,65162,31040,33448,39024,48325,32218,50625,60102,47817,30257,40569,41483,32435,36681,30286,38702,31582,41660
1894,290.52084,79.2,256968,261518,309611,216385,49242,210772,90779,75959,288132,115676,349,171519,237266,142842,172488,133303,213100,186244,158736,204428
1895,290.5239,172.5,79588,79237,72794,3058,404,64973,20769,15691,94021,29028,149582,63653,66745,41947,48030,42157,75297,55413,43158,73849
1896,290.59308,52.5,20644,19363,75529,8701,38634,79071,151935,14273,38832,58664,244519,15787,46085,44471,1966,2297,22593,56355,1383,34745
1897,290.7916,52.44,17004,13540,56886,8560,39092,65637,133763,10733,39309,50977,187964,13075,42262,36019,1848,1720,19304,47561,1217,28008
1898,290.85568,79.26,75922,79011,101868,68326,11508,62935,26372,24024,89235,35202,100,50782,73892,42904,51865,34943,65184,54540,47182,57209
1899,290.85632,172.44,16078,15481,18944,257,209,13147,3434,3124,20625,5324,39104,12114,12798,5800,9874,7059,15059,10379,6579,13080
1900,290.88016,572.46,140892,143176,117117,197409,197342,102569,139211,274908,117630,128720,9191,201908,74303,124437,240884,255012,129315,101442,258913,117127
1901,290.94077,73.08,4954,3392,12943,5165,3770,5212,5236,9411,6680,5332,6054,4975,7321,4609,7139,13264,6184,5999,4872,7444
1902,290.97842,532.02,8246,8478,9946,7135,12627,7231,7597,11235,7236,8414,5041,8334,7810,6858,11669,13269,7242,7555,11585,7556
1903,290.99496,52.44,5092,3800,23440,2331,10066,23491,56892,1731,10590,15607,91208,2925,17744,11624,328,834,4267,16446,334,13428
1904,291.0611,563.04,33410,41428,54309,27989,48213,50374,46921,29153,40619,40097,18192,35704,42384,41860,29075,23466,40532,37641,29807,39277
1905,291.0675,460.5,51638,69207,80952,128584,50564,60609,85718,158781,62463,56934,17412,41867,33989,50811,52794,16237,40971,40085,43883,67450
1906,291.0687,388.32,3353009,3534300,3987004,3564704,3614964,4248128,3970752,4043598,3602990,3943253,1419675,2675352,2769088,2640201,2755103,2310055,2916365,3106087,2708565,2650734
1907,291.07117,475.98,41044,50819,51701,39932,47503,53761,60321,54384,48908,53300,1001,30763,26003,30673,37408,28241,33660,31999,29837,33325
1908,291.1167,553.98,13500,10716,17825,7815,11495,16297,14675,10333,13097,10095,18144,13568,18807,14802,11039,10297,14669,15600,13737,13122
1909,291.12698,871.74,309567,226676,146375,300387,110099,242711,127511,356391,181104,142518,5351,345160,105295,220832,435120,388226,287889,143273,388596,149274
1910,291.12778,765.6,12650,17425,5075,5591,10798,8319,7415,10671,5551,17282,1904,12673,11380,18137,20064,23696,15095,6460,23494,19880
1911,291.14929,741.84,23025,24087,26883,28453,29902,23576,25647,36699,32431,34619,2615,23827,19987,24000,28937,35448,20094,20628,28903,25352
1912,291.15283,56.52,28493,29955,56305,26429,24924,45064,42805,16196,32139,31676,58935,24883,33943,39520,13866,22012,44091,43648,14909,43580
1913,291.17987,128.16,133465,42144,78744,2791,942,34569,22170,50584,98967,53988,3003,31586,44037,3583,37215,4493,12516,13874,32985,48936
1914,291.25336,56.28,636226,570119,911875,470330,583618,755705,826563,380410,675233,637825,1027737,540453,659150,646988,288711,348090,669852,694853,338965,611633
1915,292.04459,659.1,20042,15042,14989,22560,8073,7291,8205,12680,14334,4322,1860,23181,13783,15826,27041,27368,17277,17271,31571,16341
1916,292.09363,53.22,82554,48258,71528,9799,63679,85406,43621,25489,112276,24385,52137,78952,51647,9722,50358,5481,10742,58711,45608,106502
1917,292.12732,459.72,10841,11855,13570,13502,10775,13527,12702,10247,12734,11584,1327,6770,8833,6954,6990,6122,7350,9428,7727,7749
1918,292.19266,53.46,73636,64568,161913,43901,141563,176066,337650,63150,104197,163897,497631,62590,153732,111219,19027,22828,90183,171739,19772,94287
1919,292.22867,74.28,14018,20258,18659,14500,15431,19347,23400,9611,19153,20571,27034,8761,18288,13022,8678,6167,12460,17826,5860,8773
1920,292.28336,40.98,24603,11630,25862,8064,24597,15718,23656,6366,16449,23357,31376,9260,20923,9226,7221,7813,8906,11878,3684,6548
1921,292.44449,53.4,43969,31700,105493,27830,92511,116561,211358,41264,68388,113697,318805,39144,89817,69294,7860,8684,50423,101567,5708,53253
1922,292.87891,572.34,44104,41444,34950,59753,57933,28549,42696,83365,36578,38421,2684,59173,22725,38233,71833,79575,37579,31190,77660,36571
1923,292.95621,641.88,22352,28539,19005,35120,32320,19215,25912,60778,21019,24342,4992,58245,17894,28867,70851,60142,29999,20170,75739,30247
1924,293.05945,550.92,25273,16843,29928,24479,29713,25605,29384,23142,26287,19717,4481,31223,23912,35776,37112,35355,37152,18409,41116,28443
1925,293.05969,596.52,36513,39507,36757,45824,38093,42207,38876,45387,31278,38960,5964,32441,21157,30069,42978,38638,33518,20775,45289,29479
1926,293.06213,579.24,46269,24312,40571,45618,38375,31469,35807,49426,37742,27712,10050,39225,30430,35775,63586,51243,48633,35224,72076,34740
1927,293.06546,526.02,9748,7300,10681,14121,11486,12320,17834,13787,11974,13238,3467,11006,8908,9381,14403,15756,12287,7914,13221,11157
1928,293.07498,54.96,29736,26624,28987,26933,33931,31504,63094,26495,56978,45566,54554,30197,42941,42936,13881,24620,28969,64518,22245,43042
1929,293.08124,708.54,20495,20054,19050,16797,18363,18528,18948,21375,17726,19631,2151,29043,20185,20842,30952,25330,27433,19928,33014,23887
1930,293.08167,731.34,25202,22753,21725,25035,22901,22797,23478,24724,26165,24004,10312,27979,28158,28566,28582,33826,28458,25607,30145,25545
1931,293.08386,660.12,22833,14462,19638,19821,17764,19481,12458,22711,16436,15312,7114,28524,17135,18299,31429,29667,26626,13821,33034,21684
1932,293.09576,830.34,103782,126489,59445,115243,86343,74444,71418,232895,86083,111776,67240,162752,78645,104085,203367,221499,106474,93225,161047,122799
1933,293.09616,790.74,89362,93945,55046,109060,63425,49748,58563,131729,75145,80077,6557,104220,42119,93486,171941,184185,85843,58009,170258,74720
1934,293.0968,349.8,7268,8255,6670,9913,25308,5701,12152,8172,10682,13149,1779,13241,1639,4335,9489,16797,14057,7846,18573,8375
1935,293.1882,62.82,34946,35065,48454,31270,25271,48840,38822,22616,42468,24688,37424,27330,39882,30195,23606,22106,38240,31585,25214,33270
1936,293.19043,226.02,474692,493252,502088,445890,101625,331907,156523,140710,394037,181841,359033,376808,242964,352844,414729,365163,310073,148744,364030,580944
1937,293.19064,169.38,235979,410266,137332,4863,7030,156067,103579,88442,134898,73896,6783,314913,188502,159425,1274048,549175,161152,74502,1103674,216959
1938,293.19348,79.2,219049,196813,254584,671917,193076,219402,211994,145325,178082,370688,193541,149401,130388,188316,242627,219959,147581,124375,205702,116270
1939,294.03851,727.86,13646,15773,14206,13253,12930,15431,15089,16372,16910,16712,845,9739,10512,9601,13176,11714,15855,11876,10997,12130
1940,294.09521,299.58,22381,25364,19201,11883,15849,21506,17132,13148,20084,16881,12751,21091,20658,30452,16149,17531,29823,22725,9204,30576
1941,294.151,760.38,10074,9327,8931,12320,9630,8447,8350,12669,10051,12200,1017,9338,8582,12309,11675,12930,6942,6880,22510,11248
1942,294.20551,53.1,14464,17994,16456,11461,17521,14105,11738,8101,16101,19819,57599,17141,56266,26706,10054,41954,19181,16101,26727,41093
1943,294.24313,74.16,50352,59806,63469,44037,56574,65711,78192,35154,56255,68834,86367,30622,60391,43792,28408,20046,51842,58621,21052,39050
1944,294.86057,54.6,194201,194180,405307,111674,412517,512661,680006,225169,237743,541534,987170,181143,341869,252431,67496,81779,208034,461863,68006,193190
1945,294.93375,572.04,15617,13153,13206,13330,28128,10057,11870,22250,11758,13324,3905,16902,9560,12721,25504,26770,14955,10636,23999,11916
1946,294.99982,536.28,9020,9296,9923,8905,8362,11557,11193,9698,10315,10577,16350,8593,9694,10107,8148,8036,8962,10565,7653,9982
1947,295.0238,525.12,34712,34642,38751,27668,31375,33484,33562,24754,35487,33999,50466,28380,37497,33646,15905,24675,34471,36096,23945,36219
1948,295.09384,783,472109,412725,450514,483391,440972,519892,412288,471330,457948,443817,13522,279171,174541,255820,237179,281441,245533,264103,411439,268882
1949,295.09598,790.38,1094731,781226,865013,1054878,679324,912756,847552,851574,1033025,802406,30079,586255,328826,509142,556690,602187,518166,571528,824914,520520
1950,295.0965,802.02,196527,111533,108330,214629,108079,104412,148502,154268,197770,201102,2108,154685,31160,107369,121639,137732,84886,76927,220443,120715
1951,295.10068,66.6,121707,187646,153645,151738,246498,123685,398698,131526,179885,235468,242687,117590,204014,179037,59174,135450,187214,377265,138445,160695
1952,295.11612,60,503847,518259,574906,402620,464621,611923,673605,290893,547598,579266,756379,391006,649025,496161,279288,316938,463208,575949,285545,534268
1953,295.12927,626.28,13566,16765,13954,14484,15273,14155,15134,16623,16154,21648,5553,14104,10437,12021,17446,16222,10421,12202,10893,11955
1954,295.16623,364.5,17930,27771,28223,13814,48430,32911,46510,43452,20628,77046,5993,26266,18112,23143,22485,19592,13807,26765,20538,16538
1955,295.1955,54.6,99148,98854,217026,66085,216607,279753,382362,132926,138831,283426,534524,101228,210254,148914,41349,50573,110379,244576,46970,115467
1956,295.22565,78.54,253608,325045,377019,224324,250633,358026,328779,196093,284958,465278,245199,111577,187764,223169,122656,87759,166184,173667,88296,142091
1957,295.53058,54.66,24574,27419,58100,13267,58111,75145,106439,33038,35213,73537,157395,25364,41457,36306,6723,8369,23984,63946,6546,26664
1958,296.04364,460.86,9877,18026,29924,9506,16431,28735,23220,9046,22861,20763,4625,10875,24781,19832,8185,4713,18343,21772,7798,17978
1959,296.06583,716.94,725967,914469,820669,654219,689779,728371,700168,714025,736573,816478,256502,485013,870273,552243,639961,509970,875780,869942,523902,596694
1960,296.25378,73.32,74199,76413,80186,68158,72563,96742,94567,43218,73657,81928,97263,38440,66014,55117,33872,27932,59234,62500,25584,37355
1961,296.25394,58.2,21010,18131,32413,12145,21029,41573,28576,14864,27353,34146,25465,14950,21836,20732,11671,11256,10761,14481,7682,14002
1962,296.91611,642.24,24110,30751,25601,28456,28196,24300,27377,30138,25210,26503,16754,33247,25958,32287,30894,29415,26154,26605,32505,29626
1963,297.07574,563.46,37496,41235,56221,36702,32739,67930,50311,17919,53914,37671,30304,40972,63082,54493,20991,14650,46275,47949,23520,47396
1964,297.08298,52.5,124877,133285,165388,121947,121914,172955,144333,116121,130075,91845,234225,103631,144749,145140,112288,95638,139631,112951,108017,131947
1965,297.10394,58.74,46115,66453,83455,77383,105986,79956,164279,49826,52063,62168,71621,52458,55852,51164,17669,44868,146211,137404,41185,84422
1966,297.11618,680.22,8402,11633,11160,11348,19079,12408,15057,17823,11612,26682,2087,7202,5253,6294,6811,5836,5764,9309,6226,7233
1967,297.1521,473.46,43886,37512,40778,26719,31661,45919,32944,67964,42471,38665,23588,35453,35595,56815,28847,28352,32997,31406,31243,35657
1968,297.15952,557.16,10603,30094,9474,4206,7182,17184,7347,9748,9265,10235,36114,11879,12219,51024,9479,32621,11817,4747,8231,12966
1969,297.23737,72.48,50977,63241,72120,61697,39124,79929,75067,38548,68547,62391,67377,39802,66297,45340,39479,33612,45730,53519,29734,35838
1970,297.24023,51.42,27869,29664,43634,21964,33516,46821,34901,21274,31646,36514,107894,37056,71037,61964,29970,34089,40476,49326,35056,55466
1971,297.24164,78.3,160652,208372,274872,137472,173380,287581,250714,133327,206099,302585,172046,96715,140366,152644,92199,78720,123968,125973,64905,116489
1972,297.24301,289.08,42145,51022,16302,9131,8816,17254,21592,7913,24389,18195,2578,22370,35667,20889,21125,16570,43111,41400,17273,33116
1973,298.09183,148.2,325371,311852,666736,26468,29750,512635,475059,391424,541431,332398,4044,293671,248666,84996,237678,138618,191897,238764,117313,199843
1974,298.09729,178.26,215317,240209,487222,200069,354563,369900,450855,218062,403174,279253,760450,203926,206955,170213,112211,124063,130261,215513,116591,188992
1975,298.10123,798.3,182035,173911,110658,218340,202035,111405,229095,311499,212905,369688,3888,182025,135049,205948,167019,170415,194374,259953,124551,179003
1976,298.13657,758.82,9839,7320,8582,13496,12554,9232,11169,13159,11806,10273,1910,10671,6166,7325,10303,9281,8071,7885,10645,7519
1977,298.15814,463.26,17473,21734,25610,26427,22588,17902,20362,29681,20629,27939,757,18458,11083,21672,30010,28180,13281,12360,24697,16344
1978,298.19824,52.92,30023,27803,43985,24573,34057,39940,47797,26187,33195,39320,37039,21217,31258,29018,14811,14027,28802,28655,12136,26042
1979,298.20068,78.54,17398,14896,59659,10947,17481,22772,23959,11471,16814,15724,5842,9060,7760,8577,11733,4893,10077,18567,4289,6827
1980,298.27173,72.12,35087,37554,39566,26342,33193,42870,40452,18833,39483,41211,54131,21151,34917,31799,20892,16036,30174,34211,16801,25646
1981,298.27289,79.02,13248,21764,25102,14183,10955,15810,20699,9937,23027,23133,20235,14724,21403,16658,14268,18661,13885,17681,13756,18852
1982,298.30725,53.34,12684,15187,27278,14246,16423,24309,28926,8518,15336,20581,24139,11596,28451,17162,6244,10273,19939,23021,7964,21050
1983,298.81122,575.88,71517,76980,83053,76110,70319,86110,86839,66807,78201,73724,93978,72400,126879,73554,68725,63837,75031,79464,64743,112872
1984,299.05826,693.18,27426,22804,35351,36726,26922,33264,41902,33011,38233,25021,6406,17965,10826,12569,17850,13980,15323,22088,13815,12071
1985,299.07068,306.48,114409,104696,1659,1028,168284,94983,58696,107887,13416,193992,23946,76875,50677,119858,134591,80510,135215,38866,125062,147657
1986,299.07751,556.74,32855,34991,44896,44318,34522,37950,44623,33090,51901,32618,23257,25157,22700,23641,21263,17257,23851,32329,21573,21939
1987,299.07974,729.24,19471,13249,12632,20190,25964,13052,23192,28726,23168,24199,3565,7944,6480,8450,6750,7552,7147,12124,10913,11181
1988,299.08203,854.76,15512,16609,12579,19474,10942,15251,14554,23509,19003,15632,2200,25055,12887,21100,27087,30125,18307,14551,34807,22262
1989,299.0993,73.68,10028,18489,23553,33629,28435,17730,27519,39552,25011,24238,9388,8574,8300,12542,10803,6696,9156,12524,5183,3581
1990,299.11899,547.98,8899,9693,7496,7916,7847,11117,13695,9687,11232,12098,8867,7180,11102,14465,26583,73141,15726,11283,30373,81123
1991,299.12149,57.84,243250,448094,318245,338693,492040,331708,913485,176712,252077,416671,369950,369780,186850,363666,95556,300150,811959,782204,154078,374818
1992,299.19711,79.08,50928,62275,108530,44536,37362,79955,103621,46095,83273,75847,14829,33112,64748,31007,22729,19399,30965,50726,16162,34536
1993,299.25797,77.76,73684,101412,117276,71803,59814,122258,95724,42627,88932,111275,154909,78596,100046,122533,68896,53150,70767,90511,48584,85224
1994,299.2583,50.94,41060,60794,51561,26459,62862,59191,64025,41132,46995,69290,236544,88351,145973,139930,93422,89126,91910,104617,107176,127279
1995,299.69504,56.64,3660,4438,10573,1698,20513,24521,31878,5002,5880,16074,78691,3847,9502,6589,1055,1065,4896,20143,1063,4579
1996,299.94006,79.08,11191,12788,18694,6467,3801,13277,7198,5681,13272,10402,126,7183,11422,6696,3380,3230,8310,14645,4664,6002
1997,300.07678,75.12,46546,50585,478,467,25797,34395,3748,10579,1414,38084,34176,19964,64863,60335,27726,31281,62970,5538,19656,55123
1998,300.12018,579.12,52897,40575,29591,59973,26643,28568,24534,32785,40853,22969,16731,36240,49628,29475,64445,38074,75223,64169,45473,28666
1999,300.19952,79.08,37801,52803,54295,33472,17853,42392,45241,25500,55877,36380,10743,36259,52511,31424,39549,30084,41833,74720,28181,46224
2000,300.20038,56.4,669493,737760,1151292,480822,825841,1196386,1153382,717133,786640,1112650,1806786,615149,997330,698706,375020,349992,713482,927792,431751,615887
2001,300.20102,136.56,485235,342067,314375,16330,203094,315427,362076,364424,298345,345449,278420,292844,290926,332536,307787,287264,312396,291270,275234,265696
2002,300.2038,113.46,393546,284010,326504,53829,24476,323588,281938,353343,298141,270323,22032,266033,235840,321411,310829,272272,253955,221433,257662,264153
2003,300.80817,576.18,21214,20914,23324,18295,19625,33607,20268,18740,24221,22095,28585,20280,38058,21986,17977,17448,21605,22645,17792,20333
2004,301.09302,76.2,128201,132824,143482,127953,129032,142046,133602,122981,147718,136154,11380,117999,129020,128891,116983,103360,118024,118841,104004,110919
2005,301.13705,795.72,74514,75027,72365,63841,63886,89686,56800,44970,58765,61832,76214,68160,96735,76635,55688,49932,73620,77823,51643,66775
2006,301.13718,827.88,61686,231954,104054,86010,179103,110972,104601,125217,77603,103661,49140,68404,178501,196619,65341,101705,112917,111047,224743,55711
2007,301.13773,457.02,75323,84302,130793,91383,136689,168507,151399,158271,90750,89629,95722,133510,139221,143211,88021,96290,133595,125205,94467,89358
2008,301.13861,538.74,46745,39114,46419,44934,51385,45805,47954,51279,43165,49709,38582,46641,40800,40416,51019,43204,44746,38609,46947,40277
2009,301.1394,642.24,403377,371483,450815,419768,380411,437828,363916,390841,368308,461532,445131,539952,473506,496042,427180,519876,494620,447981,532302,475893
